Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,Cooperator,3.00388555281,0.228448195727751,91.0,0.2362880886426592,0.13539943111045,0.0930487646173009,0.4569335737790252,0.3146182304932236,0.227769472394,0.226179893987,0.22803726261,0.228804270612,16132,0.228448195727751,0.2362880886426592,0.7720239506646344,0.7717947354536753,0.22803726261
1,Defector Hunter,2.99657364889,0.2290208035100113,91.0,0.2232686980609418,0.1353548123222219,0.0936659911877892,0.4550149658852183,0.3159642306047704,0.227503291067,0.236713099872,0.227517278399,0.22951618125,16132,0.2290208035100113,0.2232686980609418,0.7724859284939807,0.7688381723099558,0.227517278399
2,Fool Me Forever,2.9812433769,0.2344475636282511,90.0,0.774792243767313,0.1364368179367527,0.0980107456914982,0.451817286062206,0.3137351503095429,0.244406472478,0.226420180422,0.230446676034,0.228533569556,16132,0.2344475636282511,0.774792243767313,0.766315556149479,0.771969495190902,0.230446676034
3,$e$,2.97958318615,0.2387160943687371,91.0,0.2282548476454293,0.1415047686329919,0.0972113257357452,0.4480246890628194,0.3132592165684433,0.256066370981,0.249778077238,0.23429434668,0.233073960769,16132,0.2387160943687371,0.2282548476454293,0.7604797138505348,0.7629700201264856,0.23429434668
4,Risky QLearner,2.94009184034,0.2553626206101619,88.0,0.2576177285318559,0.1499395787242745,0.1054230418858874,0.4360705720500474,0.3085668073397906,0.255861245639,0.259136322691,0.254837340646,0.254464389218,16132,0.2553626206101619,0.2576177285318559,0.7449006777430992,0.744345896978308,0.254837340646
5,Hesitant QLearner,2.93804309431,0.2546914796705646,88.0,0.2512465373961219,0.1493948576846566,0.1052966219859079,0.4360482626559334,0.3092602576735019,0.253829728567,0.25663042884,0.254408622239,0.253579360066,16132,0.2546914796705646,0.2512465373961219,0.7457391013138751,0.7456456745405592,0.254408622239
6,Arrogant QLearner,2.93613564112,0.2554258305601517,89.0,0.2584487534626039,0.1489654018479615,0.1064604287121902,0.4366785030396549,0.3078956664001933,0.254835076462,0.258277786575,0.253954967151,0.256430838049,16132,0.2554258305601517,0.2584487534626039,0.7458211667144956,0.7430946258353096,0.253954967151
7,Worse and Worse,2.91091487107,0.2683169421257134,87.0,0.2409972299168975,0.1561973637732621,0.1121195783524512,0.4265351651824723,0.3051478926918143,0.269207680885,0.274609605593,0.266917383943,0.267363575937,16132,0.2683169421257134,0.2409972299168975,0.7324687180389171,0.7306894192132644,0.266917383943
8,"Grumpy: Nice, 10, -10",2.86082656305,0.3246407257989552,74.0,0.2293628808864266,0.1660190745319675,0.1586216512669876,0.4218725018126383,0.2534867723884066,0.352220641187,0.364662328193,0.288240346714,0.290653266345,16132,0.3246407257989552,0.2293628808864266,0.6936917820932618,0.6808604447921766,0.288240346714
9,AntiCycler,2.84267043448,0.2898938444663407,85.0,0.2213296398891966,0.1659986242540297,0.123895220212311,0.4087043819368272,0.301401773596832,0.283190462436,0.289079665578,0.29115907573,0.295627092361,16132,0.2898938444663407,0.2213296398891966,0.7111425980558808,0.7062802686006621,0.29115907573
10,Cycler CCCCCD,2.78738961498,0.315882429493019,83.0,0.2354570637119113,0.1820186283440852,0.1338638011489338,0.3899105765119263,0.2942069939950547,0.293065707178,0.289937872532,0.331832893302,0.320855125808,16132,0.315882429493019,0.2354570637119113,0.6805049100190016,0.6888131372259627,0.331832893302
11,Hopeless,2.76859766867,0.3292680659614419,87.0,0.4889196675900277,0.1850527059435944,0.1442153600178475,0.3869043856550596,0.2838275483834984,0.771448628226,0.227537999197,0.226745914248,0.229430256924,16132,0.3292680659614419,0.4889196675900277,0.5970193425569986,0.7712072787622355,0.226745914248
12,Cycle Hunter,2.74284705051,0.3397181579876926,73.5,0.2265927977839335,0.1808436669207458,0.1588744910669467,0.3833609102232798,0.2769209317890275,0.442044624659,0.509628668187,0.261651325467,0.281941013854,16132,0.3397181579876926,0.2265927977839335,0.6805274745013583,0.6350526985459183,0.261651325467
13,Tit For 2 Tats,2.72560932533,0.3466359292792206,76.0,0.2382271468144044,0.1768874676978565,0.1697484615813641,0.3855937087508598,0.2677703619699195,0.227349104103,0.559912476578,0.22869966696,0.419413954722,16132,0.3466359292792206,0.2382271468144044,0.771725054175114,0.5260754581770175,0.22869966696
14,Slow Tit For Two Tats,2.72250088308,0.3465169458439457,76.0,0.22797783933518,0.1774637937124691,0.1690531521314767,0.3854728661994088,0.2680101879566454,0.229091172924,0.559453847739,0.226388421395,0.419689631871,16132,0.3465169458439457,0.22797783933518,0.772759545731757,0.5262505120840943,0.226388421395
15,Sneaky Tit For Tat,2.72214765101,0.328710331108591,79.0,0.2362880886426592,0.1754299206157393,0.1532804104928517,0.3821227388499506,0.2891669300414583,0.232344720053,0.45465748103,0.229383212527,0.448211414008,16132,0.328710331108591,0.2362880886426592,0.7696849705022283,0.5495554257745527,0.229383212527
16,Pun1,2.68399858707,0.353886482366283,78.0,0.7831024930747923,0.1911245793749651,0.1627619029913179,0.3672386547435348,0.278874862890182,0.22672231189,0.409640166674,0.227766897897,0.564238359206,16132,0.353886482366283,0.7831024930747923,0.7725906579895798,0.4927376399848784,0.227766897897
17,Cycler CCCD,2.67121158601,0.3640744390116938,80.0,0.2260387811634349,0.2071706110914871,0.1569038279202068,0.3547100708323263,0.2812154901559797,0.316801490281,0.312923278641,0.401684990931,0.384505351792,16132,0.3640744390116938,0.2260387811634349,0.6296123418782272,0.641130361641442,0.401684990931
18,GTFT: 0.33,2.6019074532,0.3905631262897618,73.0,0.2216066481994459,0.2044860473330977,0.186077078956664,0.3449664429530201,0.264470430757218,0.226571923935,0.591169895201,0.228836489727,0.590514538385,16132,0.3905631262897618,0.2216066481994459,0.7720062985320735,0.4092147978573131,0.228836489727
19,Hard Tit For 2 Tats,2.5831508301,0.4072840171782335,68.0,0.2277008310249307,0.197953113090037,0.2093309040881965,0.3482087415642604,0.2445072412575061,0.43718774141,0.52166495162,0.279889686937,0.452905118348,16132,0.4072840171782335,0.2277008310249307,0.6630985695650112,0.5153797025481868,0.279889686937
20,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",2.56545390321,0.4037238097008682,65.0,0.7700831024930748,0.1919574634218892,0.2117663462789789,0.3436185837252969,0.2526576065738348,0.499490303202,0.564776904703,0.287077019968,0.32901119667,16132,0.4037238097008682,0.7700831024930748,0.6367912798487982,0.5634852125669974,0.287077019968
21,Cycler CCCDCD,2.56128576475,0.4064511331313094,76.0,0.2277008310249307,0.2269999442265146,0.1794511889047945,0.3214263139303576,0.272122552938333,0.327939445351,0.332756215012,0.463932598062,0.45929331068,16132,0.4064511331313094,0.2277008310249307,0.5923565340162724,0.590991349728954,0.463932598062
22,Grofman,2.51949841046,0.4220955957537786,73.0,0.2257617728531856,0.2322370744947851,0.1898585212589935,0.3105895257394635,0.2673148785067578,0.227221276557,0.618903829341,0.602022640142,0.247901191453,16132,0.4220955957537786,0.2257617728531856,0.5583283304222183,0.5980259507457961,0.602022640142
23,Prober 2,2.51631932179,0.4197010541188719,62.5,0.774792243767313,0.2081708155942665,0.2115302385246052,0.3289241294688506,0.2513748164122777,0.231027541767,0.677894996984,0.229352786966,0.587651128556,16132,0.4197010541188719,0.774792243767313,0.7699981004775532,0.3711108101820404,0.229352786966
24,Dynamic Two Tits For Tat,2.50893677146,0.4250032534533083,63.5,0.2357340720221606,0.2080109316031158,0.2169923218501923,0.328622952648311,0.2463737938983807,0.381925639235,0.521240117785,0.335488890604,0.500415980378,16132,0.4250032534533083,0.2357340720221606,0.6465112185452233,0.4898321673114952,0.335488890604
25,"ZD-GTFT-2: 0.25, 0.5",2.48908512893,0.4306363754671029,65.0,0.2254847645429362,0.2153637360798676,0.2152726393872354,0.3185279518117087,0.2508356727211884,0.226839767024,0.702050442797,0.227689950188,0.63647494154,16132,0.4306363754671029,0.2254847645429362,0.772653000688936,0.333238940688619,0.227689950188
26,ShortMem,2.47824090427,0.4518024131327967,58.0,0.2229916897506925,0.2147260592314414,0.2370763539013552,0.3204595735187492,0.2277380133484542,0.335300215926,0.670048990148,0.27051962752,0.571188312134,16132,0.4518024131327967,0.2229916897506925,0.7034892404093691,0.3783882699616675,0.27051962752
