Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,Worse and Worse,4.24521707138,0.1102463151346881,36.0,0.0369415807560137,0.0945756810268314,0.0156706341078567,0.7638443215523847,0.1259093633129272,0.128322031453,0.122541169485,0.108852666825,0.106970591594,15302,0.1102463151346881,0.0369415807560137,0.8890023127731914,0.8913059952585016,0.108852666825
1,Hard Tit For 2 Tats,4.15268579838,0.1344321552384637,34.0,0.0378006872852233,0.0620453183435364,0.0723868368949273,0.7726345174969466,0.0929333272645896,0.293233918603,0.458759570236,0.0467955454237,0.238644706057,15302,0.1344321552384637,0.0378006872852233,0.9348856373970442,0.6649761326200034,0.0467955454237
2,Soft Go By Majority: 10,3.52832965416,0.263741911502545,27.0,0.0357961053837342,0.0737010992012015,0.1900408123013434,0.6449784938895338,0.0912795946079212,0.297163574614,0.74701516536,0.0674372107594,0.316929235697,15302,0.263741911502545,0.0357961053837342,0.9090041885869126,0.3925341468904675,0.0674372107594
3,Prober 2,3.49135393672,0.268993271280429,27.0,0.9616265750286368,0.09797797046039,0.1710153008200389,0.616426951290746,0.114579777428825,0.0398892530137,0.703816965973,0.0394976434957,0.574229085692,15302,0.268993271280429,0.9616265750286368,0.9604486487195152,0.3481732523847958,0.0394976434957
4,PSO Gambler 2_2_2 Noise 05,3.48197203826,0.3538399975725025,29.0,0.0412371134020618,0.2121177639713859,0.1417222336011166,0.546588986747381,0.0995710156801165,0.675978215744,0.474071955131,0.216303075527,0.390058726014,15302,0.3538399975725025,0.0412371134020618,0.6551818390283392,0.5605965761215924,0.216303075527
5,Soft Go By Majority: 5,3.20253863135,0.3412739051607079,24.0,0.0392325315005727,0.0829597262996593,0.2583141788610485,0.5717306539829924,0.0869954408562997,0.342440851308,0.847557258583,0.0632626915382,0.405377511909,15302,0.3412739051607079,0.0392325315005727,0.9013609772663637,0.26384311894230345,0.0632626915382
6,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",3.19481236203,0.3411942528997216,25.0,0.9621993127147768,0.0994667091478725,0.241727543751849,0.5575866882107068,0.1012190588895716,0.58273895486,0.814121059387,0.054975141623,0.230661121133,15302,0.3411942528997216,0.9621993127147768,0.8651303932984362,0.35808436674922794,0.054975141623
7,Evolved FSM 16 Noise 05,3.1712656365,0.5110432170410323,23.0,0.0380870561282932,0.3282393815950175,0.1828038354460147,0.4217966515706667,0.0671601313883009,0.630763628424,0.913001675865,0.151167069049,0.490263929972,15302,0.5110432170410323,0.0380870561282932,0.6389463773678161,0.2005791850747954,0.151167069049
8,DoubleResurrection,3.04672553348,0.3589168809691783,25.0,0.0412371134020618,0.1098177101112855,0.2490991708578927,0.51853621902096,0.1225469000098616,0.173717840093,0.963781732082,0.0401773038283,0.626741081355,15302,0.3589168809691783,0.0412371134020618,0.9364837541842203,0.14735434646569337,0.0401773038283
9,Contrite Tit For Tat,3.03495217071,0.3607261251830105,25.0,0.0369415807560137,0.1299223200807142,0.2308038051022962,0.5037000371710552,0.1355738376459342,0.0391923416923,0.730103966852,0.0400079274434,0.961736839253,15302,0.3607261251830105,0.0369415807560137,0.9601593059122335,0.18418294978189922,0.0400079274434
10,Ripoff,2.96835908756,0.3857103843790537,25.0,0.9607674684994272,0.1432621773135188,0.2424482070655348,0.4831023417764729,0.1311872738444733,0.0406223728304,0.820061086188,0.0466358150547,0.945706981915,15302,0.3857103843790537,0.9607674684994272,0.9547395802621577,0.13582334296196572,0.0466358150547
11,Tester,2.94536423841,0.3910034667698353,24.0,0.9599083619702176,0.1428430547021384,0.2481604120676968,0.4754462423097638,0.1335502909204008,0.0548286954811,0.833707965366,0.0410028666266,0.944261010066,15302,0.3910034667698353,0.9599083619702176,0.9558029593242773,0.1276125028151569,0.0410028666266
12,Appeaser,2.93303899926,0.5005044643195801,27.0,0.0400916380297823,0.3451579011249933,0.1553465631945866,0.3487270810101423,0.1507684546702775,0.0403210267395,0.959376438508,0.959842842934,0.0402136579217,15302,0.5005044643195801,0.0400916380297823,0.49755316402342536,0.4933316742334955,0.959842842934
13,Meta Majority Finite Memory: 78 players,2.8342531273,0.4219635420222571,21.0,0.0349369988545246,0.1229034387018957,0.2990601033203613,0.4719358533791523,0.1061006045985905,0.193272946266,0.931464880599,0.0501142686595,0.859454751732,15302,0.4219635420222571,0.0349369988545246,0.920306828278633,0.08739261979696503,0.0501142686595
14,Winner12,2.81843267108,0.538033954620969,25.0,0.0380870561282932,0.3466788800133512,0.1913550746076177,0.3304563695258036,0.1315096758532274,0.0405036769878,0.955309360026,0.955565167196,0.205244602447,15302,0.538033954620969,0.0380870561282932,0.5129268996172832,0.35020795952451683,0.955565167196
15,Evolved HMM 5,2.72847682119,0.6367174165358094,22.0,0.0372279495990836,0.4235262435235126,0.2131911730122968,0.2752990752751796,0.087983508189011,0.880965584316,0.831068712973,0.174647010725,0.5926910506,15302,0.6367174165358094,0.0372279495990836,0.39728542481107526,0.2385696209195273,0.174647010725
16,Calculator,2.68285504047,0.4738835408085083,21.0,0.0418098510882016,0.1697370716794488,0.3041464691290594,0.411138420457735,0.1149780387337566,0.256989581177,0.959360935534,0.0618194465236,0.959623216812,15302,0.4738835408085083,0.0418098510882016,0.8811500752004666,0.04056711308550256,0.0618194465236
17,Meta Majority: 173 players,2.59933774834,0.4743576614096174,20.0,0.0386597938144329,0.1253555904508317,0.3490020709587856,0.4294982666150822,0.0961440719753002,0.26894456041,0.955882077876,0.070131495795,0.951988763425,15302,0.4743576614096174,0.0386597938144329,0.8849515791683015,0.044958812493918004,0.070131495795
18,Joss: 0.9,2.52501839588,0.5034079788807719,18.0,0.0418098510882016,0.1733859038255843,0.3300220750551876,0.3749781904523488,0.121613830666879,0.131918497151,0.96039429771,0.134651528002,0.960005794104,15302,0.5034079788807719,0.0418098510882016,0.8662126223485218,0.03971031623046612,0.134651528002
19,Stalker: D,2.51287711553,0.6769702555699688,27.0,0.0378006872852233,0.4656983227509615,0.2112719328190072,0.1919543630474196,0.1310753813826115,0.902827699401,0.489055050614,0.536393701413,0.28637909891,15302,0.6769702555699688,0.0378006872852233,0.20412632998506702,0.5885440032259261,0.536393701413
20,PSO Gambler 2_2_2,2.4131714496,0.6371839512073006,16.0,0.0403780068728522,0.3593777261934562,0.2778062250138444,0.2429033628425995,0.1199126859500997,0.570459669745,0.688053136816,0.725676890937,0.565113899488,15302,0.6371839512073006,0.0403780068728522,0.3669403488095203,0.3490131774835323,0.725676890937
21,Spiteful Tit For Tat,2.23270787344,0.6655496385304537,13.0,0.0412371134020618,0.2597213688051403,0.4058282697253135,0.2792077255107227,0.0552426359588235,0.680781934611,0.958765298204,0.247473610426,0.958574178706,15302,0.6655496385304537,0.0412371134020618,0.5437059115947002,0.041257600540471784,0.247473610426
22,Hard Go By Majority: 10,2.2200147167,0.5626730540194048,17.0,0.9570446735395188,0.1000754799996965,0.4625975740197082,0.3683253301775867,0.0690016158030085,0.63888438507,0.917850984865,0.188684116961,0.528749268622,15302,0.5626730540194048,0.9570446735395188,0.7151290128456118,0.13265444788677763,0.188684116961
23,Cycler DDC,2.20364238411,0.6553332878177556,14.0,0.9627720504009164,0.3910982908900571,0.2642349969276985,0.1708977189109639,0.1737689932712804,0.602705137417,0.409937487685,0.926513334081,0.924738676608,15302,0.6553332878177556,0.9627720504009164,0.29882782507833283,0.3858258242122978,0.926513334081
24,SolutionB5,2.10908756439,0.6243732125653338,16.0,0.9647766323024056,0.2016226303452356,0.4227505822200982,0.2830803425805815,0.0925464448540846,0.486295716528,0.960684250055,0.0677563230411,0.957984041475,15302,0.6243732125653338,0.9647766323024056,0.7581432110415111,0.03980070268354454,0.0677563230411
25,Inverse,2.06990434143,0.6156550829521403,14.0,0.0429553264604811,0.1646355340115154,0.4510195489406249,0.2994128490475864,0.084932068000273,0.396655272999,0.9589412173,0.182410979937,0.959640565025,15302,0.6156550829521403,0.0429553264604811,0.7415792226262322,0.04094795730707634,0.182410979937
26,Fortress4,1.88686534216,0.8209758539860267,4.0,0.9507445589919816,0.4655238463697533,0.3554520076162732,0.078136971545178,0.1008871744687952,0.948036220032,0.780560658339,0.418033727843,0.932512416007,15302,0.8209758539860267,0.9507445589919816,0.12813772571945808,0.1858459442747684,0.418033727843
27,Fool Me Once,1.86552612215,0.8600490809646268,11.0,0.04524627720504,0.4348273821715482,0.4252216987930785,0.1093246246861321,0.030626294349241,0.933912186821,0.95691487884,0.326842862044,0.716387970943,15302,0.8600490809646268,0.04524627720504,0.18805304578553386,0.05924499899424642,0.326842862044
28,TF1,1.77869757174,0.8249015725632097,12.0,0.036368843069874,0.367910000531015,0.4569915720321948,0.1244452788967023,0.0506531485400878,0.828479685383,0.900977354292,0.606415010502,0.633771807408,15302,0.8249015725632097,0.036368843069874,0.22764828064753112,0.12568460378330998,0.606415010502
29,Forgetful Grudger,1.70713760118,0.7517466602944858,10.0,0.0383734249713631,0.2232956312631331,0.5284510290313527,0.1992747851285436,0.0489785545769706,0.847984161539,0.958822823659,0.177054566852,0.959290090054,15302,0.7517466602944858,0.0383734249713631,0.4684112737100877,0.04113754201453121,0.177054566852
30,Handshake,1.67862398823,0.86854911510131,7.0,0.0383734249713631,0.3886878617540186,0.4798612533472914,0.0966826729781601,0.0347682119205298,0.897917284317,0.952526905967,0.598442247058,0.76234228922,15302,0.86854911510131,0.0383734249713631,0.1617362072333486,0.06032190955047774,0.598442247058
31,Nice Meta Winner Ensemble: 173 players,1.40802060338,0.9341124083050756,5.0,0.0343642611683848,0.4026668335571181,0.5314455747479574,0.0345368410671885,0.0313507506277356,0.953896743959,0.948152265485,0.629672684906,0.942723320425,15302,0.9341124083050756,0.0343642611683848,0.07171528871042909,0.052150155648674125,0.629672684906
32,NMWE Long Memory: 95 players,1.38833701251,0.937230225377969,5.0,0.0432416953035509,0.40250942551755,0.5347207998604189,0.0321605486144299,0.030609226007601,0.953931908977,0.955018507588,0.631541217792,0.953757496861,15302,0.937230225377969,0.0432416953035509,0.06992127185841404,0.045049768570305036,0.631541217792
33,Grudger,1.3857615894,0.938407940951124,5.0,0.0441008018327606,0.3966568808174598,0.5417510601336641,0.0331201687110747,0.0284718903378014,0.955610541403,0.960397425767,0.598755539643,0.961103968353,15302,0.938407940951124,0.0441008018327606,0.07188999143524166,0.03956729574585568,0.598755539643
34,Meta Winner Finite Memory: 78 players,1.32174392936,0.9538092745575506,4.0,0.0389461626575028,0.4026251109442206,0.55118416361333,0.0184622562071869,0.0277284692352624,0.960006004206,0.960395105576,0.957754576388,0.960401169465,15302,0.9538092745575506,0.0389461626575028,0.040092707938914465,0.039604603978861876,0.957754576388
