Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,Tullock: 11,2.58695652174,0.2612836438923395,15.0,0.231055900621118,0.1271221532091097,0.1341614906832298,0.3548654244306418,0.3838509316770185,0.30753138339,0.253939898815,0.246542980333,0.278132107537,105,0.2612836438923395,0.231055900621118,0.7373715903383926,0.728133500477331,0.246542980333
1,Cooperator Hunter,2.5652173913,0.2730848861283644,15.0,0.2720496894409938,0.1333333333333333,0.139751552795031,0.3569358178053829,0.3699792960662525,0.293759585072,0.279939703648,0.268400700178,0.274000508412,105,0.2730848861283644,0.2720496894409938,0.7247027111937331,0.724371158206887,0.268400700178
2,Meta Hunter: 6 players,2.50724637681,0.2701863354037267,15.0,0.2434782608695652,0.1267080745341615,0.1434782608695652,0.3598343685300207,0.3699792960662525,0.247978485956,0.33037288721,0.248424408967,0.288407297668,105,0.2701863354037267,0.2434782608695652,0.7516917207703327,0.6998660275124008,0.248424408967
3,Cooperator,2.50724637681,0.2745341614906832,16.0,0.2521739130434782,0.1343685300207039,0.1401656314699793,0.3548654244306418,0.3706004140786749,0.265432455365,0.285731137873,0.295520909526,0.265169325638,105,0.2745341614906832,0.2521739130434782,0.7127429105122941,0.7291880530068743,0.295520909526
4,Tit For 2 Tats,2.30434782609,0.3763975155279503,12.0,0.2782608695652174,0.1670807453416149,0.2093167701863354,0.2894409937888199,0.3341614906832297,0.284529950703,0.528099751236,0.288711107641,0.449214452758,105,0.3763975155279503,0.2782608695652174,0.712819138911819,0.520403437999616,0.288711107641
5,Once Bitten,2.24637681159,0.4153209109730849,11.0,0.2521739130434782,0.1894409937888199,0.225879917184265,0.2685300207039338,0.3161490683229813,0.51455032824,0.556218895627,0.33361965594,0.43507783466,105,0.4153209109730849,0.2521739130434782,0.5915378643337342,0.5144390112089852,0.33361965594
6,"Limited Retaliate 3: 0.05, 20",2.23913043478,0.4248447204968944,11.0,0.2770186335403726,0.1902691511387163,0.234575569358178,0.267287784679089,0.3078674948240165,0.457332051821,0.734277848965,0.357649556687,0.349383823683,105,0.4248447204968944,0.2770186335403726,0.6008987632097665,0.48417154630001297,0.357649556687
7,"Stein and Rapoport: 0.05: ('D', 'D')",2.19565217391,0.4283643892339545,11.0,0.2745341614906832,0.2002070393374741,0.2281573498964803,0.2641821946169772,0.3074534161490683,0.584183217204,0.474614933597,0.443517012372,0.395544006845,105,0.4283643892339545,0.2745341614906832,0.4958391088618189,0.5707736733711948,0.443517012372
8,Evolved ANN 5,2.19565217391,0.4161490683229814,10.0,0.2795031055900621,0.1968944099378882,0.2192546583850931,0.258592132505176,0.3252587991718426,0.292197596462,0.575812065926,0.308284726178,0.539057417886,105,0.4161490683229814,0.2795031055900621,0.6986693012583254,0.44614289683857794,0.308284726178
9,GTFT: 0.33,2.15942028986,0.4163561076604555,11.0,0.2559006211180124,0.1898550724637681,0.2265010351966873,0.2559006211180124,0.327743271221532,0.259304764129,0.580882621559,0.292245836127,0.578699556224,105,0.4163561076604555,0.2559006211180124,0.7217843371299281,0.42040829828608967,0.292245836127
10,Fool Me Once,2.15217391304,0.4662525879917184,9.0,0.2894409937888199,0.2178053830227743,0.2484472049689441,0.2341614906832298,0.2995859213250517,0.558228821679,0.594922781736,0.341255904613,0.525367463267,105,0.4662525879917184,0.2894409937888199,0.5541836241302746,0.4431000916393846,0.341255904613
11,Soft Go By Majority: 10,2.02898550725,0.4886128364389234,8.0,0.2658385093167701,0.2066252587991718,0.2819875776397516,0.2229813664596273,0.2884057971014492,0.418261184912,0.678985712458,0.333201135411,0.626061782596,105,0.4886128364389234,0.2658385093167701,0.6258880552386394,0.34777400961015464,0.333201135411
12,PSO Gambler 2_2_2,2.02173913043,0.4979296066252588,7.0,0.2782608695652174,0.2250517598343686,0.2728778467908903,0.212008281573499,0.2900621118012422,0.571906800827,0.496485789588,0.581803252695,0.542440479103,105,0.4979296066252588,0.2782608695652174,0.4232926464904647,0.4798354608678607,0.581803252695
13,Remorseful Prober: 0.1,2.01449275362,0.4968944099378882,8.0,0.2385093167701863,0.2053830227743271,0.2915113871635611,0.2219461697722567,0.281159420289855,0.313993192965,0.743416592454,0.295142258205,0.700365020963,105,0.4968944099378882,0.2385093167701863,0.6957976026080233,0.27772007930477727,0.295142258205
14,Meta Majority Long Memory: 95 players,1.99275362319,0.4977225672877847,8.0,0.2795031055900621,0.2157349896480331,0.2819875776397515,0.2163561076604555,0.2859213250517597,0.277860091526,0.710598095605,0.298580791151,0.723622881142,105,0.4977225672877847,0.2795031055900621,0.7117646659689089,0.28284440208854833,0.298580791151
15,Ripoff,1.98550724638,0.510351966873706,8.0,0.7304347826086957,0.2109730848861284,0.2993788819875776,0.2128364389233954,0.2768115942028984,0.276738246779,0.558559221536,0.286862394855,0.61398307838,105,0.510351966873706,0.7304347826086957,0.7181774228731114,0.41481422560721665,0.286862394855
16,Meta Majority: 173 players,1.98550724638,0.498343685300207,9.0,0.2795031055900621,0.2136645962732919,0.2846790890269152,0.2142857142857143,0.2873706004140786,0.265840381504,0.733168499742,0.27809414578,0.722937322538,105,0.498343685300207,0.2795031055900621,0.7280238439310943,0.2719711578617466,0.27809414578
17,Worse and Worse 3,1.97101449275,0.5049689440993789,8.0,0.2819875776397516,0.2180124223602485,0.2869565217391304,0.2084886128364389,0.2865424430641822,0.455455702402,0.671519569208,0.375635952515,0.62254663965,105,0.5049689440993789,0.2819875776397516,0.5835629811592665,0.35294921581303673,0.375635952515
18,Negation,1.96376811594,0.4635610766045548,7.0,0.493167701863354,0.1968944099378882,0.2666666666666666,0.2080745341614907,0.3283643892339544,0.715102782855,0.267435686343,0.740304452558,0.296433700298,105,0.4635610766045548,0.493167701863354,0.27194850648471625,0.7165619301731343,0.740304452558
19,PSO Gambler Mem1,1.96376811594,0.5033126293995859,7.0,0.2732919254658385,0.2267080745341615,0.2766045548654244,0.1950310559006211,0.301656314699793,0.26744726934,0.506811983831,0.751505225464,0.663657305932,105,0.5033126293995859,0.2732919254658385,0.5087026596394756,0.41136788215498027,0.751505225464
20,"EugineNier: ('D',)",1.94927536232,0.5262939958592132,8.0,0.2559006211180124,0.2343685300207039,0.2919254658385093,0.1997929606625259,0.2739130434782608,0.364439466591,0.735837501562,0.357646177941,0.747611014787,105,0.5262939958592132,0.2559006211180124,0.6386866772083561,0.2584631358340208,0.357646177941
21,Random: 0.5,1.94202898551,0.5101449275362319,7.0,0.529192546583851,0.2126293995859213,0.2975155279503106,0.2078674948240166,0.2819875776397515,0.484729478011,0.499228439072,0.525674072581,0.507613579988,105,0.5101449275362319,0.529192546583851,0.49503006263484933,0.49669133158623785,0.525674072581
22,NMWE Deterministic: 126 players,1.84782608696,0.5973084886128365,5.0,0.2782608695652174,0.2590062111801242,0.3383022774327122,0.165631469979296,0.2370600414078675,0.667843493628,0.706396343994,0.490860166342,0.719783680774,105,0.5973084886128365,0.2782608695652174,0.4011894960496206,0.2880878227519158,0.490860166342
23,Evolved FSM 16 Noise 05,1.8115942029,0.5418219461697723,5.0,0.2832298136645962,0.2265010351966874,0.3153209109730848,0.1855072463768116,0.2726708074534161,0.43617977072,0.699269052729,0.410612962464,0.711625879392,105,0.5418219461697723,0.2832298136645962,0.5753317168163699,0.29500068645579897,0.410612962464
