Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,"Grumpy: Nice, 10, -10",2.4200310559,0.4163169380560685,37.0,0.4145752895752895,0.2127329192546584,0.2035840188014101,0.2982205808292765,0.285462481114655,0.414041326565,0.417904089686,0.411537313703,0.422649023636,122,0.4163169380560685,0.4145752895752895,0.5874201531390962,0.5793262337733753,0.411537313703
1,Worse and Worse,2.41770186335,0.4183103911364781,39.0,0.3947876447876448,0.216635890548934,0.201674500587544,0.2970245089810308,0.2846650998824911,0.418194755723,0.428459560392,0.416706381686,0.416410473126,122,0.4183103911364781,0.3947876447876448,0.5826658976735333,0.578593031308848,0.416706381686
2,$\pi$,2.40760869565,0.4237871411784455,37.0,0.4097490347490347,0.2163001510827598,0.2074869900956857,0.2948631861675339,0.2813496726540205,0.435991127661,0.418782462791,0.427677240813,0.417080928392,122,0.4237871411784455,0.4097490347490347,0.5688047154419595,0.5821968543974355,0.427677240813
3,Risky QLearner,2.40605590062,0.4273124055732751,38.0,0.4237451737451737,0.2181677018633541,0.2091447037099211,0.2943176095350007,0.278369984891724,0.425526957275,0.42598270134,0.425513493182,0.432421150455,122,0.4273124055732751,0.4237451737451737,0.574480775082549,0.5703409561317175,0.425513493182
4,$e$,2.39130434783,0.4237451737451737,36.0,0.4208494208494208,0.2156286721504113,0.2081165015947624,0.2912959543394326,0.2849588719153937,0.43516681435,0.411987069934,0.434013108639,0.41391016847,122,0.4237451737451737,0.4208494208494208,0.5654961437872672,0.5869015300268955,0.434013108639
5,Cycler CCCCCD,2.39052795031,0.4375734430082256,35.0,0.4198841698841699,0.2265611885177102,0.2110122544905154,0.2867844552627162,0.2756421017290581,0.445724971681,0.435744846709,0.442706638636,0.430304109884,122,0.4375734430082256,0.4198841698841699,0.5559612430723525,0.5673367986399652,0.442706638636
6,EasyGo,2.37344720497,0.4330409602148732,35.0,0.584942084942085,0.2198673829108612,0.213173577304012,0.2880224945442337,0.2789365452408931,0.434786191393,0.421392555463,0.428029227291,0.419854535405,122,0.4330409602148732,0.584942084942085,0.5690456582708593,0.5794792209582431,0.428029227291
7,Slow Tit For Two Tats,2.36801242236,0.4539197582675843,34.0,0.4194015444015444,0.2330031895249286,0.2209165687426557,0.2800067147893236,0.2660735269430921,0.419094173755,0.502049648487,0.420994746261,0.484085063764,122,0.4539197582675843,0.4194015444015444,0.579868471879814,0.5077655417184309,0.420994746261
8,Hopeless,2.35714285714,0.4544023837502098,33.0,0.4893822393822394,0.2326044989088467,0.2217978848413631,0.2789365452408931,0.266661071008897,0.577571153235,0.406510080899,0.42030242112,0.416642423441,122,0.4544023837502098,0.4893822393822394,0.508185400050942,0.58795843834562,0.42030242112
9,ShortMem,2.34782608696,0.4605296290078898,32.0,0.4237451737451737,0.2355212355212355,0.2250083934866544,0.2763975155279503,0.2630728554641598,0.433141742273,0.51431410848,0.421442524429,0.485540504513,122,0.4605296290078898,0.4237451737451737,0.5731749529820076,0.5011946908722905,0.421442524429
10,Cycler CCD,2.3299689441,0.4634883330535504,31.0,0.4237451737451737,0.2363605841866711,0.2271277488668793,0.2719489676011415,0.264562699345308,0.460825979799,0.455719913522,0.471703142425,0.471587573282,122,0.4634883330535504,0.4237451737451737,0.5333546663522153,0.5357422128754872,0.471703142425
11,Random Hunter,2.32763975155,0.476603155950982,29.0,0.4295366795366795,0.241753399362095,0.234849756588887,0.2681509148900453,0.2552459291589726,0.490476631432,0.485862887289,0.463523496448,0.478214100126,122,0.476603155950982,0.4295366795366795,0.5236976118585571,0.5181206649909593,0.463523496448
12,Prober 2,2.32608695652,0.4769598791337922,30.0,0.5704633204633205,0.2438937384589558,0.2330661406748363,0.2675423871076045,0.2554977337586033,0.418021813224,0.53556226112,0.416641788489,0.524811892782,122,0.4769598791337922,0.5704633204633205,0.582700105102478,0.4700597156391585,0.416641788489
13,Willing,2.3198757764,0.4615788148396844,30.0,0.4927606177606177,0.2312405573275138,0.2303382575121705,0.272809299983213,0.2656118851771025,0.415427566042,0.416785219419,0.418183171837,0.580119626867,122,0.4615788148396844,0.4927606177606177,0.5830810043363859,0.49573913304654754,0.418183171837
14,Tullock: 11,2.31832298137,0.4687552459291589,31.0,0.4271235521235521,0.2397599462816854,0.2289952996474736,0.2686125566560349,0.2626321974148061,0.468743008552,0.488951368033,0.454667900291,0.472900794258,122,0.4687552459291589,0.4271235521235521,0.5386939609798884,0.5196230048112486,0.454667900291
15,Stalker: D,2.29192546584,0.4903684740641262,30.0,0.4126447876447876,0.2485101561188518,0.2418583179452745,0.2598203793855967,0.2498111465502769,0.498296643755,0.496663023124,0.491348083839,0.486213916055,122,0.4903684740641262,0.4126447876447876,0.5052549380357083,0.5086460383610603,0.491348083839
16,SelfSteem,2.28804347826,0.5024131274131274,26.0,0.5125482625482626,0.2562741312741313,0.2461389961389961,0.2525600134295786,0.245026859157294,0.461356510342,0.544783109267,0.467972771879,0.536143079735,122,0.5024131274131274,0.5125482625482626,0.535359505829416,0.45952712377632743,0.467972771879
17,Tester,2.28027950311,0.4980694980694981,25.0,0.583976833976834,0.2509022998153433,0.2471671982541547,0.252685915729394,0.2492445862011079,0.417796101458,0.577758188761,0.41910500016,0.562382960342,122,0.4980694980694981,0.583976833976834,0.5815471312529676,0.4299615966370167,0.41910500016
18,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",2.27950310559,0.4807579318448883,28.0,0.5916988416988417,0.2410189692798388,0.2397389625650495,0.2625482625482625,0.2566938056068491,0.482271263133,0.493298200139,0.465511573334,0.46409288007,122,0.4807579318448883,0.5916988416988417,0.5264668499916392,0.5218031896827972,0.465511573334
19,Win-Stay Lose-Shift: C,2.27872670807,0.4935789827094174,27.0,0.401061776061776,0.2511960718482458,0.2423829108611717,0.2562951149907672,0.2501259022998153,0.415267855084,0.581831168378,0.579448194184,0.415789162209,122,0.4935789827094174,0.401061776061776,0.5018171702719065,0.5024950517887794,0.579448194184
20,Naive Prober: 0.1,2.27717391304,0.5036301829780091,26.0,0.4213320463320463,0.2551619942924291,0.24846818868558,0.2526229645794862,0.2437468524425046,0.431181017932,0.580597984068,0.430208540224,0.590460221565,122,0.5036301829780091,0.4213320463320463,0.5693027896272634,0.41451819657039574,0.430208540224
21,Ripoff,2.2748447205,0.500587544065805,27.0,0.5907335907335908,0.2519934530804096,0.2485940909853953,0.2541128084606346,0.2452996474735605,0.423922994351,0.568861972748,0.421821796872,0.575396015039,122,0.500587544065805,0.5907335907335908,0.5771320038442274,0.42789279827711835,0.421821796872
22,Alternator,2.27251552795,0.4950478428739298,26.0,0.4068532818532818,0.2487829444351184,0.2462648984388114,0.2525809971462145,0.2523711599798556,0.593889871766,0.570979150202,0.417678010128,0.417790522224,122,0.4950478428739298,0.4068532818532818,0.49488350029010875,0.5065531322830149,0.417678010128
23,ALLCorALLD,2.27251552795,0.4980904817861339,27.0,0.471042471042471,0.2549941245593419,0.243096357226792,0.2512590229981534,0.2506504952157126,0.413555761956,0.419554716018,0.577374352168,0.584565056712,122,0.4980904817861339,0.471042471042471,0.5051392641901291,0.49667781608612965,0.577374352168
24,Anti Tit For Tat,2.27173913043,0.4975449051536008,26.0,0.4194015444015444,0.250965250965251,0.2465796541883498,0.2539239550109114,0.2485311398354877,0.578062895623,0.417743716235,0.590190361023,0.413684556055,122,0.4975449051536008,0.4194015444015444,0.41583783756325987,0.5842938634713751,0.590190361023
25,Negation,2.26708074534,0.5075331542722847,25.0,0.4927606177606177,0.2557285546415982,0.2518045996306865,0.25153181131442,0.2409350344132953,0.592320797262,0.421875501867,0.595053877371,0.418613549281,122,0.5075331542722847,0.4927606177606177,0.4063239685497571,0.5797194959863538,0.595053877371
26,Random: 0.5,2.26708074534,0.4983213026691288,26.0,0.5043436293436293,0.2495803256672821,0.2487409770018466,0.2544905153600805,0.2471881819707906,0.499917494369,0.497030005508,0.498896460995,0.496564520302,122,0.4983213026691288,0.5043436293436293,0.500597995297134,0.5032020083587462,0.498896460995
27,Joss: 0.9,2.26397515528,0.5037141178445527,26.0,0.4054054054054054,0.2543436293436293,0.2493704885009233,0.2512380392815175,0.2450478428739297,0.432035785692,0.584403609558,0.431782822247,0.588020163452,122,0.5037141178445527,0.4054054054054054,0.5680899191028445,0.41380392306341873,0.431782822247
28,Meta Majority Long Memory: 95 players,2.2600931677,0.5013219741480611,26.0,0.3972007722007722,0.2532105086452912,0.2481114655027699,0.2525600134295785,0.2461180124223601,0.43233937914,0.578218522897,0.432729580895,0.586441113644,122,0.5013219741480611,0.3972007722007722,0.5674657709108991,0.4176867644603827,0.432729580895
29,Hard Go By Majority,2.2600931677,0.5119607184824576,25.0,0.5902509652509652,0.2584774215208997,0.2534832969615578,0.2493704885009233,0.238668793016619,0.490588804415,0.544022317537,0.472162078961,0.526634218894,122,0.5119607184824576,0.5902509652509652,0.5184593405852206,0.4644100280742169,0.472162078961
30,"Alexei: ('D',)",2.2600931677,0.4958242403894577,26.0,0.4116795366795366,0.2477967097532315,0.2480275306362263,0.2537560852778243,0.2504196743327177,0.421819065031,0.576811666611,0.426281488124,0.575406111323,122,0.4958242403894577,0.4116795366795366,0.575923212499598,0.4238944837976466,0.426281488124
31,Bully,2.25310559006,0.5056236360584186,25.0,0.597007722007722,0.2557915057915058,0.2498321302669129,0.2495803256672821,0.2447960382742991,0.580945498,0.417795570029,0.589136694072,0.414870267368,122,0.5056236360584186,0.597007722007722,0.4150092401630806,0.5836521892126098,0.589136694072
32,SolutionB5,2.25077639752,0.5175214033909686,24.0,0.5786679536679536,0.2632617089138827,0.2542596944770858,0.2446701359744837,0.2378084606345476,0.451113921936,0.582230184036,0.443721521657,0.585263032709,122,0.5175214033909686,0.5786679536679536,0.5524469880554541,0.41630408999337704,0.443721521657
