Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,Slow Tit For Two Tats,2.20526315789,0.2242562929061785,28.0,0.2242562929061785,0.0830663615560641,0.1411899313501144,0.2903890160183064,0.4853546910755149,0,0,0,0,16119,0.2242562929061785,0.2242562929061785,1.0,1.0,0
1,NMWE Stochastic: 47 players,2.2,0.2384439359267734,27.0,0.2384439359267734,0.0897025171624714,0.148741418764302,0.2846681922196795,0.476887871853547,0,0,0,0,16119,0.2384439359267734,0.2384439359267734,1.0,1.0,0
2,Tit For 2 Tats,2.18947368421,0.2130434782608695,27.0,0.2130434782608695,0.0810068649885584,0.1320366132723112,0.2919908466819221,0.4949656750572082,0,0,0,0,16119,0.2130434782608695,0.2130434782608695,1.0,1.0,0
3,CollectiveStrategy,2.18421052632,0.2233409610983981,27.0,0.2233409610983981,0.0846681922196796,0.1386727688787185,0.2842105263157894,0.4924485125858123,0,0,0,0,16119,0.2233409610983981,0.2233409610983981,1.0,1.0,0
4,Soft Go By Majority: 5,2.17894736842,0.2203661327231121,28.5,0.2203661327231121,0.0755148741418764,0.1448512585812357,0.2951945080091532,0.4844393592677345,0,0,0,0,16119,0.2203661327231121,0.2203661327231121,1.0,1.0,0
5,Win-Stay Lose-Shift: C,2.17894736842,0.2279176201372997,28.0,0.2279176201372997,0.0844393592677346,0.1434782608695652,0.2874141876430205,0.4846681922196795,0,0,0,0,16119,0.2279176201372997,0.2279176201372997,1.0,1.0,0
6,Thumper,2.17894736842,0.2215102974828375,28.0,0.2215102974828375,0.0803203661327231,0.1411899313501144,0.294508009153318,0.4839816933638445,0,0,0,0,16119,0.2215102974828375,0.2215102974828375,1.0,1.0,0
7,NMWE Finite Memory: 78 players,2.17894736842,0.2375286041189931,27.0,0.2375286041189931,0.0867276887871854,0.1508009153318078,0.2844393592677345,0.4780320366132722,0,0,0,0,16119,0.2375286041189931,0.2375286041189931,1.0,1.0,0
8,Meta Winner Finite Memory: 78 players,2.17894736842,0.2411899313501144,26.5,0.2411899313501144,0.088558352402746,0.1526315789473684,0.2814645308924484,0.4773455377574371,0,0,0,0,16119,0.2411899313501144,0.2411899313501144,1.0,1.0,0
9,Grofman,2.17368421053,0.2256292906178489,27.0,0.2256292906178489,0.0810068649885583,0.1446224256292906,0.2821510297482836,0.4922196796338674,0,0,0,0,16119,0.2256292906178489,0.2256292906178489,1.0,1.0,0
10,"General Soft Grudger: n=1,d=4,c=2",2.17368421053,0.2263157894736842,27.0,0.2263157894736842,0.0842105263157895,0.1421052631578948,0.2876430205949655,0.4860411899313501,0,0,0,0,16119,0.2263157894736842,0.2263157894736842,1.0,1.0,0
11,Nice Meta Winner: 173 players,2.17368421053,0.2281464530892448,26.0,0.2281464530892448,0.0899313501144165,0.1382151029748284,0.2848970251716246,0.4869565217391305,0,0,0,0,16119,0.2281464530892448,0.2281464530892448,1.0,1.0,0
12,Worse and Worse,2.17368421053,0.2398169336384439,27.0,0.2398169336384439,0.0903890160183066,0.1494279176201373,0.2778032036613271,0.4823798627002288,0,0,0,0,16119,0.2398169336384439,0.2398169336384439,1.0,1.0,0
13,Adaptive Pavlov 2011,2.17368421053,0.222883295194508,27.0,0.222883295194508,0.0832951945080091,0.1395881006864989,0.286270022883295,0.4908466819221969,0,0,0,0,16119,0.222883295194508,0.222883295194508,1.0,1.0,0
14,PSO Gambler 1_1_1,2.16842105263,0.2224256292906178,27.0,0.2224256292906178,0.0789473684210526,0.1434782608695652,0.2823798627002287,0.4951945080091534,0,0,0,0,16119,0.2224256292906178,0.2224256292906178,1.0,1.0,0
