Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,Opposite Grudger,2.70191570881,0.3148929456840207,17.0,0.6901960784313725,0.1714897453234167,0.143403200360604,0.3759206671174216,0.3091863871985575,0.308726580852,0.325950430309,0.307476081622,0.3142442165,13390,0.3148929456840207,0.6901960784313725,0.692132168806552,0.6820466647521087,0.307476081622
1,Arrogant QLearner,2.69310344828,0.326824430921794,16.0,0.3261437908496732,0.1788550822627901,0.1479693486590038,0.3698985801217038,0.3032769889565021,0.328486246089,0.330446777614,0.32646585989,0.325788022616,13390,0.326824430921794,0.3261437908496732,0.6728756363685315,0.672684313034947,0.32646585989
2,Worse and Worse,2.6662835249,0.3369348659003831,16.0,0.2928104575163399,0.1847013748027947,0.1522334910975885,0.3625918413342348,0.300473292765382,0.33841765269,0.337665723054,0.337385391666,0.336458650547,13390,0.3369348659003831,0.2928104575163399,0.6622662392611403,0.6631354424326092,0.337385391666
3,AntiCycler,2.63754789272,0.3533468559837728,16.0,0.3261437908496732,0.1927157989632634,0.1606310570205093,0.3530313274735181,0.2936218165427091,0.349617695522,0.35075435393,0.357118721398,0.354663569045,13390,0.3533468559837728,0.3261437908496732,0.6455300624887346,0.6467187917337385,0.357118721398
4,Soft Go By Majority: 10,2.44444444444,0.4452918638719855,12.0,0.3150326797385621,0.2215370745999549,0.2237547892720307,0.304877169258508,0.2498309668695064,0.439953639523,0.534483913672,0.373252033803,0.45107875531,13390,0.4452918638719855,0.3150326797385621,0.5986771478733578,0.5095148575859246,0.373252033803
5,Tit For Tat,2.32950191571,0.4921794004958305,10.0,0.3176470588235294,0.2506648636466081,0.2415145368492224,0.2675636691458192,0.2402569303583502,0.30942429268,0.692336957204,0.308896719343,0.691471633905,13390,0.4921794004958305,0.3176470588235294,0.6908480957526295,0.3080945750342837,0.308896719343
6,Stochastic WSLS: 0.05,2.32490421456,0.4978679287807077,10.0,0.292156862745098,0.2603515889114267,0.237516339869281,0.2602208699571782,0.241911201262114,0.327521847567,0.672034551062,0.672268232172,0.327357262811,13390,0.4978679287807077,0.292156862745098,0.5001482441019325,0.5018839031256691,0.672268232172
7,DoubleResurrection,2.32030651341,0.4926256479603335,10.0,0.3084967320261438,0.2483615055217489,0.2442641424385846,0.2682127563669145,0.2391615956727519,0.340000171207,0.688939375867,0.310501193105,0.658369539832,13390,0.4926256479603335,0.3084967320261438,0.675316120777462,0.3261842102170764,0.310501193105
8,Negation,2.31149425287,0.5072751859364435,10.0,0.5019607843137255,0.2707054315979265,0.2365697543385169,0.2509127789046654,0.2418120351588911,0.69217942015,0.303347759787,0.695585361068,0.3043045225,13390,0.5072751859364435,0.5019607843137255,0.30618222811435586,0.6961686165804245,0.695585361068
9,ALLCorALLD,2.30459770115,0.5002929907595222,10.0,0.4496732026143791,0.262429569528961,0.2378634212305611,0.2538291638494478,0.2458778453910299,0.308666992192,0.310180602691,0.690556712641,0.693379879404,13390,0.5002929907595222,0.4496732026143791,0.5035691170357784,0.4950454158134379,0.690556712641
10,Stochastic Cooperator,2.29885057471,0.5098895650214109,9.0,0.2993464052287581,0.2634572909623619,0.2464322740590489,0.2537570430471039,0.2363533919314852,0.328968273577,0.607823754453,0.592506251473,0.527613129667,13390,0.5098895650214109,0.2993464052287581,0.5417340376232963,0.4314442987900855,0.592506251473
11,Soft Grudger,2.27816091954,0.5202479152580572,8.0,0.284313725490196,0.2651746675681767,0.2550732476898806,0.250628803245436,0.2291232814965066,0.520131733707,0.589622168821,0.411435566739,0.580254738416,13390,0.5202479152580572,0.284313725490196,0.5326837120704092,0.4148105279543987,0.411435566739
12,Adaptive Pavlov 2011,2.26053639847,0.5350462023890016,8.0,0.307843137254902,0.2661482983998197,0.2688979039891819,0.2482172639170611,0.2167365336939373,0.527760521246,0.633628052089,0.427177756397,0.570522693646,13390,0.5350462023890016,0.307843137254902,0.5207776790479206,0.39453559444253733,0.427177756397
13,TF1,2.05785440613,0.6281992337164751,4.0,0.3163398692810457,0.3119495154383592,0.3162497182781158,0.1874780256930358,0.1843227405904891,0.626527222764,0.653358267984,0.601001743197,0.626089943895,13390,0.6281992337164751,0.3163398692810457,0.3830546807554739,0.35668258052523344,0.601001743197
14,"Limited Retaliate: 0.1, 20",2.01149425287,0.6562271805273834,3.0,0.3261437908496732,0.3251521298174442,0.3310750507099391,0.1730087897227857,0.170764029749831,0.663732146149,0.675831248669,0.633233893678,0.636968110658,13390,0.6562271805273834,0.3261437908496732,0.34685974402483677,0.33739296266464525,0.633233893678
15,Evolved FSM 16,1.98965517241,0.6619021861618211,2.0,0.3098039215686274,0.3289429794906468,0.3329592066711742,0.1668965517241379,0.171201262114041,0.673646297885,0.668790656791,0.65054887709,0.655322667209,13390,0.6619021861618211,0.3098039215686274,0.3341281526009518,0.3357827617083379,0.65054887709
16,Better and Better,1.9785440613,0.6643002028397565,2.0,0.7019607843137254,0.3267207572684246,0.337579445571332,0.1654631507775524,0.170236646382691,0.66315705027,0.664491231684,0.665878370546,0.664040274433,13390,0.6643002028397565,0.7019607843137254,0.33592809205224805,0.335659944009895,0.665878370546
17,Meta Winner: 173 players,1.92911877395,0.6898354744196529,1.0,0.3137254901960784,0.3376741041244083,0.3521613702952446,0.1514356547216587,0.1587288708586883,0.695429412767,0.692075090396,0.691268214809,0.688331056223,13390,0.6898354744196529,0.3137254901960784,0.30585895600053975,0.3090881463794654,0.691268214809
