Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,Worse and Worse,4.35812236287,0.0709827707454289,36.0,0.037037037037037,0.0616356071261134,0.0093471636193155,0.8074748007501173,0.1215424285044537,0.0739737405169,0.108945943987,0.0720157128565,0.063812888795,15312,0.0709827707454289,0.037037037037037,0.9278454276585315,0.9329640432385242,0.0720157128565
1,Hard Tit For 2 Tats,4.20024613221,0.12092709798406,34.0,0.03125,0.0572110876699484,0.0637160103141115,0.7865828645100797,0.0924900375058602,0.306615050234,0.495985601699,0.0449570112,0.237399215584,15312,0.12092709798406,0.03125,0.9373019976823876,0.6571241202616073,0.0449570112
2,Soft Go By Majority: 10,3.54342475387,0.2655004688232536,27.0,0.0231481481481481,0.0769309657759025,0.1885695030473511,0.6392991092358181,0.0952004219409282,0.285925248533,0.856847878076,0.0963114034845,0.378385600174,15312,0.2655004688232536,0.0231481481481481,0.883321989843999,0.3036688177682457,0.0963114034845
3,PSO Gambler 2_2_2 Noise 05,3.5008790436,0.3472075714955461,29.0,0.0347222222222222,0.208582395686826,0.1386251758087201,0.5554969526488515,0.0972954758556024,0.684074318826,0.419753050536,0.233144573391,0.391041827213,15312,0.3472075714955461,0.0347222222222222,0.6437582550990563,0.592087676911559,0.233144573391
4,Prober 2,3.45604781997,0.2653832630098452,27.0,0.9629629629629628,0.0957278481012658,0.1696554149085794,0.6177918424753868,0.1168248945147679,0.0379507323097,0.625355448483,0.0350334655053,0.551673819907,15312,0.2653832630098452,0.9629629629629628,0.9645751456133409,0.4046914629553259,0.0350334655053
5,Soft Go By Majority: 5,3.14908579466,0.3510314111579934,24.0,0.03125,0.0926951476793249,0.2583362634786685,0.5527719174871074,0.0961966713548992,0.309764123535,0.847113683108,0.0862320991573,0.495537315676,15312,0.3510314111579934,0.03125,0.8816665975710812,0.24828077238844662,0.0862320991573
6,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",3.13765822785,0.3631622128457571,25.0,0.9629629629629628,0.0992733239568682,0.2638888888888889,0.5402162447257384,0.0966215424285044,0.628552373428,0.834060750516,0.0563111675214,0.226829369328,15312,0.3631622128457571,0.9629629629629628,0.8548550353418245,0.32868525504887414,0.0563111675214
7,Evolved FSM 16 Noise 05,3.03551336146,0.5245399671823723,22.0,0.0474537037037037,0.3203381387716831,0.2042018284106891,0.4029242850445382,0.0725357477730895,0.620897475534,0.913307310236,0.177819881025,0.569399545527,15312,0.5245399671823723,0.0474537037037037,0.6259378598962777,0.1768344306223969,0.177819881025
8,DoubleResurrection,2.95059774965,0.3646565869667135,23.0,0.0289351851851851,0.1151107594936708,0.2495458274730427,0.5025492264416315,0.1327941865916549,0.153945517535,0.965424335667,0.0367295558626,0.689357520247,15312,0.3646565869667135,0.0289351851851851,0.9414253858850684,0.13045908445664942,0.0367295558626
9,Appeaser,2.94585091421,0.4954582747304266,27.0,0.0277777777777777,0.3443360290670417,0.1511222456633849,0.3492293717768401,0.1553123534927332,0.0353900654544,0.966287182549,0.968273568042,0.0333600325979,15312,0.4954582747304266,0.0277777777777777,0.4948772760922704,0.5065546952780994,0.968273568042
