Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,Noise_Level,coop_rate,first_move_c,provocability,retaliation_rate,forgiveness_rate
0,PSO Gambler 2_2_2 Noise 05,3.01893939394,0.4263855661881978,7.0,0.0454545454545454,0.2646531100478469,0.1617324561403509,0.4042563795853269,0.1693580542264753,0.653136017049,0.457285409135,0.314290913831,0.415173081234,12013,0.4263855661881978,0.0454545454545454,0.551645491944458,0.5642557153881971,0.314290913831
1,GrudgerAlternator,3.00852272727,0.371261961722488,8.0,0.0502392344497607,0.2177531897926635,0.1535087719298246,0.427482057416268,0.201255980861244,0.956122113531,0.962461653662,0.0364968728033,0.0442307317398,12013,0.371261961722488,0.0502392344497607,0.6531491432063306,0.558445407692572,0.0364968728033
2,Cycler CCD,2.86268939394,0.3466407496012759,9.0,0.0382775119617224,0.2557814992025519,0.090859250398724,0.3622408293460925,0.2911184210526315,0.0726792750059,0.141375657691,0.502981207039,0.42130980651,12013,0.3466407496012759,0.0382775119617224,0.6751082699927637,0.6452768262270872,0.502981207039
3,Winner12,2.69034090909,0.5261662679425837,7.0,0.0382775119617224,0.3406100478468898,0.1855562200956937,0.2998405103668261,0.1739932216905901,0.0375105576219,0.954634442942,0.948210776527,0.312249167923,12013,0.5261662679425837,0.0382775119617224,0.5361258223833075,0.3562287390778683,0.948210776527
4,Evolved FSM 16 Noise 05,2.49242424242,0.6122408293460925,4.5,0.0334928229665071,0.3219696969696969,0.2902711323763955,0.2829445773524721,0.1048145933014354,0.634266673391,0.932744225193,0.222140115939,0.689011285204,12013,0.6122408293460925,0.0334928229665071,0.5585027479367585,0.1319171060542394,0.222140115939
5,Math Constant Hunter,2.42613636364,0.5033393141945773,5.0,0.055023923444976,0.2590709728867624,0.244268341307815,0.2990430622009569,0.1976176236044657,0.640905819481,0.849233824355,0.251217918257,0.373904633529,12013,0.5033393141945773,0.055023923444976,0.5678928416499162,0.3633400806331671,0.251217918257
6,"Feld: 1.0, 0.5, 200",2.40151515152,0.504585326953748,5.0,0.0119617224880382,0.1765350877192982,0.3280502392344497,0.3389154704944179,0.1564992025518341,0.0798210167037,0.966621232029,0.0913500384478,0.960727908742,12013,0.504585326953748,0.0119617224880382,0.9125985010046852,0.03528218651874535,0.0913500384478
7,Negation,2.35984848485,0.5803927432216905,5.0,0.5215311004784688,0.415719696969697,0.1646730462519936,0.1746909888357257,0.2449162679425837,0.968274111662,0.0347953562234,0.958420804362,0.0307595059624,12013,0.5803927432216905,0.5215311004784688,0.034641289493368956,0.9676179034727005,0.958420804362
8,SelfSteem,2.24621212121,0.5219298245614035,5.0,0.4952153110047846,0.2120215311004784,0.309908293460925,0.2822966507177033,0.1957735247208931,0.393453366033,0.759358121469,0.261661446241,0.656838798227,12013,0.5219298245614035,0.4952153110047846,0.6818107430315179,0.2803319930287899,0.261661446241
9,Soft Go By Majority: 40,2.19412878788,0.5773524720893142,5.0,0.0263157894736842,0.1987639553429027,0.3785885167464115,0.2970494417862838,0.1255980861244019,0.596146924059,0.961049764178,0.155546314399,0.611798416452,12013,0.5773524720893142,0.0263157894736842,0.667823686473127,0.1259523509138861,0.155546314399
10,TF3,1.65340909091,0.8731559011164274,1.0,0.055023923444976,0.4279306220095693,0.4452252791068582,0.068231658692185,0.0586124401913875,0.845357623291,0.950916289381,0.798490402201,0.595909285735,12013,0.8731559011164274,0.055023923444976,0.1610875023415676,0.09038237876497834,0.798490402201
11,Nice Meta Winner Ensemble: 173 players,1.44696969697,0.9291267942583732,0.0,0.0430622009569378,0.4156698564593301,0.513456937799043,0.0291068580542264,0.0417663476874003,0.960853626107,0.956136073089,0.776172666666,0.949887616553,12013,0.9291267942583732,0.0430622009569378,0.0512321740177808,0.04433396340805283,0.776172666666
